tree,run,arm,seed,benchmark,result_dir,suite_or_task,tag,n_episodes,successes,success_rate,se,checkpoint_step,source_path,is_full_protocol
starVLA,ervla_c_action_batchdrop,other,42,libero,libero,libero_spatial,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_c_action_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_10,,100,90,0.90000000,0.03000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_crand_batchdrop,other,42,libero,libero,libero_spatial,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_crand_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_8gpu,other,42,libero,libero,libero_10,,100,91,0.91000000,0.02861818,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_8gpu,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_8gpu,other,42,libero,libero,libero_object,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_8gpu,other,42,libero,libero,libero_spatial,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_rand_8gpu,other,42,libero,libero,libero_10,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_rand_8gpu,other,42,libero,libero,libero_goal,,100,96,0.96000000,0.01959592,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_rand_8gpu,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_cam3d_rand_8gpu,other,42,libero,libero,libero_spatial,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json,False
starVLA,ervla_d_ground_batchdrop,other,42,libero,libero,libero_10,,100,92,0.92000000,0.02712932,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_batchdrop,other,42,libero,libero,libero_goal,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_batchdrop,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_batchdrop,other,42,libero,libero,libero_spatial,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_state_batchdrop,other,42,libero,libero,libero_10,,100,91,0.91000000,0.02861818,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_state_batchdrop,other,42,libero,libero,libero_goal,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_state_batchdrop,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_d_ground_state_batchdrop,other,42,libero,libero,libero_spatial,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_e_staged_batchdrop,other,42,libero,libero,libero_10,,100,94,0.94000000,0.02374868,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_e_staged_batchdrop,other,42,libero,libero,libero_goal,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_e_staged_batchdrop,other,42,libero,libero,libero_object,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_e_staged_batchdrop,other,42,libero,libero,libero_spatial,,100,96,0.96000000,0.01959592,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json,False
starVLA,ervla_f_decoder_frozen,other,42,libero,libero,libero_10,,100,94,0.94000000,0.02374868,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json,False
starVLA,ervla_f_decoder_frozen,other,42,libero,libero,libero_goal,,100,95,0.95000000,0.02179449,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json,False
starVLA,ervla_f_decoder_frozen,other,42,libero,libero,libero_object,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json,False
